Admin2,Crop,Area,Admin1
Alipurduar,sweet potato,0,West Bengal
Alipurduar,tea,32834.4005088806,West Bengal
Alipurduar,temperate fruit,0,West Bengal
Alipurduar,tobacco,0,West Bengal
Alipurduar,tropical fruit,9833.89998698235,West Bengal
Alipurduar,vegetables,0,West Bengal
Alipurduar,wheat,24209.4999494553,West Bengal
Alipurduar,yams,0,West Bengal
Allahabad,arabica coffee,0,Uttar Pradesh
Allahabad,banana,32.0000011697412,Uttar Pradesh
Allahabad,barley,5216.09999442101,Uttar Pradesh
Allahabad,bean,13535.7998962402,Uttar Pradesh
Allahabad,cassava,0,Uttar Pradesh
Allahabad,chickpea,18433.1999092102,Uttar Pradesh
Allahabad,coconut,0,Uttar Pradesh
Allahabad,cocoa,0,Uttar Pradesh
Allahabad,cotton,0,Uttar Pradesh
Allahabad,cowpea,0,Uttar Pradesh
Allahabad,groundnut,275.900003433228,Uttar Pradesh
Allahabad,lentil,11168.9999449253,Uttar Pradesh
Allahabad,maize,168.699998572469,Uttar Pradesh
Allahabad,other cereals,0,Uttar Pradesh
Allahabad,other fibre crops,51.9000001549721,Uttar Pradesh
Allahabad,oilpalm,0,Uttar Pradesh
Allahabad,other oil crops,1353.3999940902,Uttar Pradesh
Allahabad,other pulses,3751.39999008179,Uttar Pradesh
Allahabad,other roots,0,Uttar Pradesh
Allahabad,pigeonpea,18193.8000946045,Uttar Pradesh
Allahabad,plantain,0,Uttar Pradesh
Allahabad,pearl millet,28259.7000703812,Uttar Pradesh
Allahabad,potato,13978.8000259399,Uttar Pradesh
Allahabad,rapeseed,1234.20000052452,Uttar Pradesh
Allahabad,robusta coffee,0,Uttar Pradesh
Allahabad,rice,145812.100189209,Uttar Pradesh
Allahabad,sesameseed,734.200002133846,Uttar Pradesh
Allahabad,small millet,69.3000000491738,Uttar Pradesh
Allahabad,sorghum,5955.80005073547,Uttar Pradesh
Allahabad,soybean,613.099975585938,Uttar Pradesh
Allahabad,sugarbeet,0,Uttar Pradesh
Allahabad,sugarcane,734.099996641278,Uttar Pradesh
Allahabad,sunflower,0.100000001490116,Uttar Pradesh
Allahabad,sweet potato,674.700003147125,Uttar Pradesh
Allahabad,tea,0,Uttar Pradesh
Allahabad,temperate fruit,0,Uttar Pradesh
Allahabad,tobacco,1.00000001490116,Uttar Pradesh
Allahabad,tropical fruit,791.299987792969,Uttar Pradesh
Allahabad,vegetables,1658.39999508858,Uttar Pradesh
Allahabad,wheat,219793.901353478,Uttar Pradesh
Allahabad,yams,0,Uttar Pradesh
Ambala,arabica coffee,0,Haryana
Ambala,banana,0,Haryana
Ambala,barley,1259.99997575581,Haryana
Ambala,bean,1335.09997630119,Haryana
Ambala,cassava,0,Haryana
Ambala,chickpea,64.3999998569489,Haryana
Ambala,coconut,0,Haryana
Ambala,cocoa,0,Haryana
Ambala,cotton,15909.7999267578,Haryana
Ambala,cowpea,0,Haryana
Ambala,groundnut,672.600028991699,Haryana
Ambala,lentil,923.600004963577,Haryana
Ambala,maize,2022.59999239445,Haryana
Ambala,other cereals,0,Haryana
Ambala,other fibre crops,0,Haryana
Ambala,oilpalm,0,Haryana
Ambala,other oil crops,0,Haryana
Ambala,other pulses,1078.59998393059,Haryana
Ambala,other roots,0,Haryana
Ambala,pigeonpea,476.199996769428,Haryana
Ambala,plantain,0,Haryana
Ambala,pearl millet,1067.20003509521,Haryana
Ambala,potato,2372.5,Haryana
Ambala,rapeseed,1179.00003051758,Haryana
Ambala,robusta coffee,0,Haryana
Ambala,rice,81806.6008300781,Haryana
Ambala,sesameseed,12.5000004097819,Haryana
Ambala,small millet,0,Haryana
Ambala,sorghum,0,Haryana
Ambala,soybean,2.10000003129244,Haryana
Ambala,sugarbeet,0,Haryana
Ambala,sugarcane,10127.4999237061,Haryana
Ambala,sunflower,539.799997329712,Haryana
Ambala,sweet potato,0,Haryana
Ambala,tea,0,Haryana
Ambala,temperate fruit,0,Haryana
Ambala,tobacco,0.600000008940697,Haryana
Ambala,tropical fruit,5321.80004882813,Haryana
Ambala,vegetables,3023.2000156939,Haryana
Ambala,wheat,87260.9992675781,Haryana
Ambala,yams,0,Haryana
Ambedkar Nagar,arabica coffee,0,Uttar Pradesh
Ambedkar Nagar,banana,8.80000033974648,Uttar Pradesh
Ambedkar Nagar,barley,873.599996209145,Uttar Pradesh
Ambedkar Nagar,bean,7389.70008850098,Uttar Pradesh
Ambedkar Nagar,cassava,0,Uttar Pradesh
Ambedkar Nagar,chickpea,1484.00000190735,Uttar Pradesh
Ambedkar Nagar,coconut,0,Uttar Pradesh
Ambedkar Nagar,cocoa,0,Uttar Pradesh
Ambedkar Nagar,cotton,0,Uttar Pradesh
Ambedkar Nagar,cowpea,0,Uttar Pradesh
Ambedkar Nagar,groundnut,7.00000006705523,Uttar Pradesh
Ambedkar Nagar,lentil,521.400001525879,Uttar Pradesh
Ambedkar Nagar,maize,1122.80000495911,Uttar Pradesh
Ambedkar Nagar,other cereals,0,Uttar Pradesh
Ambedkar Nagar,other fibre crops,0,Uttar Pradesh
Ambedkar Nagar,oilpalm,0,Uttar Pradesh
Ambedkar Nagar,other oil crops,3.90000009536743,Uttar Pradesh
Ambedkar Nagar,other pulses,2673.7999830246,Uttar Pradesh
Ambedkar Nagar,other roots,0,Uttar Pradesh
Ambedkar Nagar,pigeonpea,2974.5,Uttar Pradesh
Ambedkar Nagar,plantain,0,Uttar Pradesh
Ambedkar Nagar,pearl millet,22.8000003099442,Uttar Pradesh
Ambedkar Nagar,potato,4481.40000915527,Uttar Pradesh
Ambedkar Nagar,rapeseed,4037.89998626709,Uttar Pradesh
Ambedkar Nagar,robusta coffee,0,Uttar Pradesh
Ambedkar Nagar,rice,122799.500244141,Uttar Pradesh
Ambedkar Nagar,sesameseed,19.6000004857779,Uttar Pradesh
Ambedkar Nagar,small millet,1.90000000596046,Uttar Pradesh
Ambedkar Nagar,sorghum,864.500002861023,Uttar Pradesh
Ambedkar Nagar,soybean,0,Uttar Pradesh
Ambedkar Nagar,sugarbeet,0,Uttar Pradesh
Ambedkar Nagar,sugarcane,11034.6000213623,Uttar Pradesh
Ambedkar Nagar,sunflower,1.09999999403954,Uttar Pradesh
Ambedkar Nagar,sweet potato,292.900000572205,Uttar Pradesh
Ambedkar Nagar,tea,0,Uttar Pradesh
Ambedkar Nagar,temperate fruit,0,Uttar Pradesh
Ambedkar Nagar,tobacco,159.900000929832,Uttar Pradesh
Ambedkar Nagar,tropical fruit,324.799994468689,Uttar Pradesh
Ambedkar Nagar,vegetables,536.200002670288,Uttar Pradesh
Ambedkar Nagar,wheat,113067.600585938,Uttar Pradesh
Ambedkar Nagar,yams,0,Uttar Pradesh
Amethi,arabica coffee,0,Uttar Pradesh
Amethi,banana,11.200000166893,Uttar Pradesh
Amethi,barley,1282.59999553859,Uttar Pradesh
Amethi,bean,9391.80005645752,Uttar Pradesh
Amethi,cassava,0,Uttar Pradesh
Amethi,chickpea,4446.09998321533,Uttar Pradesh
Amethi,coconut,0,Uttar Pradesh
Amethi,cocoa,0,Uttar Pradesh
Amethi,cotton,0,Uttar Pradesh
Amethi,cowpea,0,Uttar Pradesh
Amethi,groundnut,734.400010257959,Uttar Pradesh
Amethi,lentil,2424.80000221729,Uttar Pradesh
Amethi,maize,2991.00003664941,Uttar Pradesh
Amethi,other cereals,0,Uttar Pradesh
Amethi,other fibre crops,7.10000006854534,Uttar Pradesh
Amethi,oilpalm,0,Uttar Pradesh
Amethi,other oil crops,104.099999047816,Uttar Pradesh
Amethi,other pulses,7851.30003356934,Uttar Pradesh
Amethi,other roots,0,Uttar Pradesh
Amethi,pigeonpea,5492.69996643066,Uttar Pradesh
Amethi,plantain,0,Uttar Pradesh
