Code,Hazard,Recode
0,None,0
1100,CSDI NTx35,1
1000,NTx35,2
1110,CDD CSDI NTx35,3
100,CSDI,4
1010,CDD NTx35,5
11100,CSDI NTx35 P5D,6
10100,CSDI P5D,7
1111,AT CDD CSDI NTx35,8
1101,AT CSDI NTx35,9
