Code,Hazard,Recode
0,None,0
1100,CSDI NTx35,1
100,CSDI,2
1110,CDD CSDI NTx35,3
11100,CSDI NTx35 P5D,4
1000,NTx35,5
10100,CSDI P5D,6
1111,AT CDD CSDI NTx35,7
1101,AT CSDI NTx35,8
10000,P5D,9
